Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Latitude,Longitude,Start Year,Total Deaths
Hydrological,Flood,Riverine flood,PAK,Pakistan,Southern Asia,Asia,,,1950,2900.0
Geophysical,Earthquake,Ground movement,PER,Peru,Latin America and the Caribbean,Americas,-13.5,-72.0,1950,83.0
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,Asia,,,1950,45.0
Hydrological,Flood,Flood (General),CHN,China,Eastern Asia,Asia,,,1950,500.0
Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,Asia,28.5,96.5,1950,1500.0
Meteorological,Storm,Tropical cyclone,ATG,Antigua and Barbuda,Latin America and the Caribbean,Americas,,,1950,2.0
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,Asia,,,1950,509.0
Meteorological,Storm,Storm (General),IND,India,Southern Asia,Asia,,,1950,90.0
Meteorological,Storm,Tornado,CAN,Canada,Northern America,Americas,,,1950,
Meteorological,Storm,Storm (General),USA,United States of America,Northern America,Americas,,,1950,200.0
Hydrological,Flood,Flood (General),CAN,Canada,Northern America,Americas,,,1950,1.0
Meteorological,Storm,Storm (General),USA,United States of America,Northern America,Americas,,,1950,34.0
Meteorological,Storm,Storm (General),USA,United States of America,Northern America,Americas,,,1950,38.0
Hydrological,Flood,Flood (General),ECU,Ecuador,Latin America and the Caribbean,Americas,,,1950,50.0
Hydrological,Flood,Flood (General),IRN,Iran (Islamic Republic of),Southern Asia,Asia,,,1950,52.0
Hydrological,Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,,,1950,50.0
Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,,,1950,100.0
Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,,,1950,33.0
Geophysical,Earthquake,Ground movement,COL,Colombia,Latin America and the Caribbean,Americas,7.8,-72.5,1950,211.0
Geophysical,Earthquake,Ground movement,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,10.5,-68.0,1950,100.0
Hydrological,Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,,,1950,77.0
Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,,,1950,84.0
Hydrological,Mass movement (wet),Landslide (wet),PER,Peru,Latin America and the Caribbean,Americas,,,1950,130.0
Biological,Epidemic,Bacterial disease,SDN,Sudan,Northern Africa,Africa,,,1950,
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,27.3,53.2,1950,20.0
Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,40.0,40.0,1950,20.0
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,-6.0,113.0,1950,16.0
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,Asia,,,1951,1300.0
Meteorological,Extreme temperature,Cold wave,USA,United States of America,Northern America,Americas,,,1951,25.0
Meteorological,Storm,Tornado,COM,Comoros,Sub-Saharan Africa,Africa,,,1951,500.0
